coo: -36.902835_174.8905615,E 00:00:00,A 00:00:00,E 00:10:00,A 00:10:00,E 00:20:00,A 00:20:00,E 00:30:00,A 00:30:00,E 00:40:00,A 00:40:00,E 00:50:00,A 00:50:00,E 01:00:00,A 01:00:00,E 01:10:00,A 01:10:00,E 01:20:00,A 01:20:00,E 01:30:00,A 01:30:00,E 01:40:00,A 01:40:00,E 01:50:00,A 01:50:00,E 02:00:00,A 02:00:00,E 02:10:00,A 02:10:00,E 02:20:00,A 02:20:00,E 02:30:00,A 02:30:00,E 02:40:00,A 02:40:00,E 02:50:00,A 02:50:00,E 03:00:00,A 03:00:00,E 03:10:00,A 03:10:00,E 03:20:00,A 03:20:00,E 03:30:00,A 03:30:00,E 03:40:00,A 03:40:00,E 03:50:00,A 03:50:00,E 04:00:00,A 04:00:00,E 04:10:00,A 04:10:00,E 04:20:00,A 04:20:00,E 04:30:00,A 04:30:00,E 04:40:00,A 04:40:00,E 04:50:00,A 04:50:00,E 05:00:00,A 05:00:00,E 05:10:00,A 05:10:00,E 05:20:00,A 05:20:00,E 05:30:00,A 05:30:00,E 05:40:00,A 05:40:00,E 05:50:00,A 05:50:00,E 06:00:00,A 06:00:00,E 06:10:00,A 06:10:00,E 06:20:00,A 06:20:00,E 06:30:00,A 06:30:00,E 06:40:00,A 06:40:00,E 06:50:00,A 06:50:00,E 07:00:00,A 07:00:00,E 07:10:00,A 07:10:00,E 07:20:00,A 07:20:00,E 07:30:00,A 07:30:00,E 07:40:00,A 07:40:00,E 07:50:00,A 07:50:00,E 08:00:00,A 08:00:00,E 08:10:00,A 08:10:00,E 08:20:00,A 08:20:00,E 08:30:00,A 08:30:00,E 08:40:00,A 08:40:00,E 08:50:00,A 08:50:00,E 09:00:00,A 09:00:00,E 09:10:00,A 09:10:00,E 09:20:00,A 09:20:00,E 09:30:00,A 09:30:00,E 09:40:00,A 09:40:00,E 09:50:00,A 09:50:00,E 10:00:00,A 10:00:00,E 10:10:00,A 10:10:00,E 10:20:00,A 10:20:00,E 10:30:00,A 10:30:00,E 10:40:00,A 10:40:00,E 10:50:00,A 10:50:00,E 11:00:00,A 11:00:00,E 11:10:00,A 11:10:00,E 11:20:00,A 11:20:00,E 11:30:00,A 11:30:00,E 11:40:00,A 11:40:00,E 11:50:00,A 11:50:00,E 12:00:00,A 12:00:00,E 12:10:00,A 12:10:00,E 12:20:00,A 12:20:00,E 12:30:00,A 12:30:00,E 12:40:00,A 12:40:00,E 12:50:00,A 12:50:00,E 13:00:00,A 13:00:00,E 13:10:00,A 13:10:00,E 13:20:00,A 13:20:00,E 13:30:00,A 13:30:00,E 13:40:00,A 13:40:00,E 13:50:00,A 13:50:00,E 14:00:00,A 14:00:00,E 14:10:00,A 14:10:00,E 14:20:00,A 14:20:00,E 14:30:00,A 14:30:00,E 14:40:00,A 14:40:00,E 14:50:00,A 14:50:00,E 15:00:00,A 15:00:00,E 15:10:00,A 15:10:00,E 15:20:00,A 15:20:00,E 15:30:00,A 15:30:00,E 15:40:00,A 15:40:00,E 15:50:00,A 15:50:00,E 16:00:00,A 16:00:00,E 16:10:00,A 16:10:00,E 16:20:00,A 16:20:00,E 16:30:00,A 16:30:00,E 16:40:00,A 16:40:00,E 16:50:00,A 16:50:00,E 17:00:00,A 17:00:00,E 17:10:00,A 17:10:00,E 17:20:00,A 17:20:00,E 17:30:00,A 17:30:00,E 17:40:00,A 17:40:00,E 17:50:00,A 17:50:00,E 18:00:00,A 18:00:00,E 18:10:00,A 18:10:00,E 18:20:00,A 18:20:00,E 18:30:00,A 18:30:00,E 18:40:00,A 18:40:00,E 18:50:00,A 18:50:00,E 19:00:00,A 19:00:00,E 19:10:00,A 19:10:00,E 19:20:00,A 19:20:00,E 19:30:00,A 19:30:00,E 19:40:00,A 19:40:00,E 19:50:00,A 19:50:00,E 20:00:00,A 20:00:00,E 20:10:00,A 20:10:00,E 20:20:00,A 20:20:00,E 20:30:00,A 20:30:00,E 20:40:00,A 20:40:00,E 20:50:00,A 20:50:00,E 21:00:00,A 21:00:00,E 21:10:00,A 21:10:00,E 21:20:00,A 21:20:00,E 21:30:00,A 21:30:00,E 21:40:00,A 21:40:00,E 21:50:00,A 21:50:00,E 22:00:00,A 22:00:00,E 22:10:00,A 22:10:00,E 22:20:00,A 22:20:00,E 22:30:00,A 22:30:00,E 22:40:00,A 22:40:00,E 22:50:00,A 22:50:00,E 23:00:00,A 23:00:00,E 23:10:00,A 23:10:00,E 23:20:00,A 23:20:00,E 23:30:00,A 23:30:00,E 23:40:00,A 23:40:00,E 23:50:00,A 23:50:00
2025-01-01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.11,119.18,1.87,117.69,3.65,116.24,5.45,114.8,7.28,113.39,9.12,112,10.98,110.63,12.86,109.27,14.75,107.93,16.66,106.6,18.58,105.27,20.52,103.95,22.46,102.63,24.42,101.3,26.38,99.98,28.35,98.64,30.33,97.3,32.31,95.94,34.3,94.56,36.3,93.15,38.29,91.71,40.29,90.24,42.29,88.72,44.29,87.15,46.28,85.52,48.27,83.82,50.25,82.03,52.23,80.14,54.19,78.14,56.14,75.99,58.07,73.68,59.97,71.18,61.85,68.44,63.68,65.41,65.48,62.05,67.21,58.28,68.87,54.01,70.44,49.16,71.88,43.62,73.18,37.28,74.29,30.08,75.17,22,75.77,13.14,76.07,3.75,76.03,354.2,75.67,344.9,75,336.19,74.07,328.3,72.91,321.29,71.58,315.13,70.1,309.75,68.51,305.04,66.84,300.89,65.09,297.21,63.28,293.93,61.44,290.97,59.55,288.29,57.64,285.83,55.71,283.55,53.76,281.44,51.79,279.47,49.82,277.6,47.83,275.83,45.84,274.15,43.84,272.53,41.85,270.98,39.85,269.47,37.85,268,35.85,266.58,33.86,265.18,31.87,263.8,29.89,262.44,27.91,261.1,25.94,259.77,23.97,258.44,22.02,257.12,20.08,255.8,18.15,254.48,16.23,253.15,14.32,251.82,12.43,250.47,10.55,249.11,8.69,247.73,6.85,246.34,5.03,244.93,3.23,243.49,1.46,242.02,-0.3,240.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-01-02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.03,119.19,1.73,117.7,3.51,116.24,5.32,114.8,7.14,113.39,8.98,112,10.84,110.63,12.72,109.27,14.62,107.92,16.52,106.58,18.45,105.26,20.38,103.93,22.32,102.61,24.28,101.29,26.24,99.96,28.21,98.62,30.19,97.28,32.18,95.91,34.17,94.53,36.16,93.12,38.16,91.69,40.16,90.21,42.15,88.69,44.15,87.12,46.14,85.49,48.13,83.79,50.12,82,52.09,80.12,54.05,78.11,56,75.97,57.93,73.66,59.83,71.16,61.71,68.42,63.55,65.41,65.34,62.06,67.07,58.3,68.73,54.06,70.3,49.24,71.75,43.73,73.05,37.44,74.17,30.3,75.05,22.28,75.67,13.5,75.97,4.17,75.95,354.67,75.61,345.4,74.95,336.7,74.04,328.79,72.9,321.76,71.57,315.57,70.11,310.16,68.53,305.41,66.86,301.24,65.12,297.54,63.32,294.23,61.47,291.25,59.59,288.55,57.69,286.07,55.75,283.79,53.8,281.66,51.84,279.68,49.86,277.8,47.88,276.03,45.89,274.34,43.89,272.71,41.9,271.15,39.9,269.64,37.9,268.17,35.9,266.74,33.91,265.33,31.92,263.95,29.93,262.59,27.95,261.25,25.98,259.91,24.02,258.59,22.06,257.27,20.12,255.94,18.19,254.62,16.27,253.29,14.36,251.95,12.47,250.61,10.59,249.25,8.73,247.87,6.89,246.48,5.06,245.06,3.26,243.62,1.48,242.16,-0.27,240.67,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-01-03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.17,119.19,1.59,117.7,3.37,116.23,5.17,114.8,7,113.38,8.84,111.99,10.7,110.61,12.58,109.25,14.48,107.9,16.38,106.57,18.31,105.24,20.24,103.91,22.18,102.59,24.14,101.26,26.1,99.93,28.08,98.6,30.05,97.25,32.04,95.88,34.03,94.5,36.02,93.09,38.02,91.65,40.02,90.18,42.01,88.66,44.01,87.09,46.01,85.45,47.99,83.75,49.98,81.96,51.95,80.08,53.91,78.07,55.86,75.93,57.79,73.63,59.69,71.13,61.57,68.4,63.4,65.39,65.2,62.05,66.93,58.31,68.59,54.09,70.16,49.29,71.61,43.82,72.91,37.58,74.03,30.5,74.93,22.55,75.55,13.84,75.87,4.58,75.87,355.14,75.54,345.9,74.9,337.21,74,329.29,72.87,322.23,71.56,316.02,70.11,310.58,68.54,305.8,66.87,301.6,65.14,297.87,63.34,294.54,61.5,291.54,59.63,288.82,57.72,286.33,55.79,284.03,53.84,281.9,51.88,279.9,49.91,278.02,47.92,276.23,45.93,274.53,43.94,272.9,41.94,271.33,39.94,269.82,37.94,268.34,35.95,266.9,33.95,265.5,31.96,264.11,29.98,262.75,28,261.4,26.02,260.07,24.06,258.74,22.1,257.41,20.16,256.09,18.22,254.77,16.3,253.44,14.39,252.1,12.5,250.75,10.62,249.39,8.76,248.01,6.91,246.62,5.09,245.2,3.28,243.77,1.5,242.3,-0.26,240.81,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-01-04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.31,119.18,1.45,117.69,3.23,116.22,5.03,114.78,6.85,113.37,8.7,111.97,10.56,110.59,12.44,109.23,14.33,107.88,16.24,106.54,18.16,105.21,20.1,103.88,22.04,102.56,24,101.23,25.96,99.9,27.93,98.56,29.91,97.21,31.9,95.84,33.89,94.46,35.88,93.05,37.88,91.61,39.88,90.13,41.87,88.61,43.87,87.04,45.86,85.4,47.85,83.7,49.84,81.91,51.81,80.03,53.77,78.02,55.72,75.88,57.64,73.58,59.55,71.08,61.42,68.36,63.26,65.36,65.05,62.03,66.78,58.3,68.44,54.1,70.01,49.33,71.47,43.9,72.77,37.7,73.9,30.68,74.8,22.8,75.43,14.16,75.76,4.98,75.77,355.6,75.46,346.39,74.84,337.72,73.95,329.8,72.84,322.72,71.55,316.48,70.1,311.01,68.54,306.2,66.88,301.97,65.15,298.22,63.36,294.87,61.53,291.85,59.65,289.11,57.75,286.6,55.83,284.29,53.88,282.14,51.92,280.13,49.94,278.24,47.96,276.44,45.97,274.73,43.98,273.1,41.98,271.52,39.98,270,37.98,268.52,35.99,267.08,33.99,265.67,32,264.28,30.01,262.91,28.03,261.56,26.06,260.23,24.09,258.9,22.14,257.57,20.19,256.24,18.25,254.92,16.33,253.59,14.42,252.25,12.52,250.9,10.64,249.54,8.78,248.16,6.93,246.77,5.11,245.35,3.3,243.91,1.51,242.45,-0.25,240.96,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-01-05,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.46,119.17,1.3,117.67,3.08,116.21,4.88,114.76,6.71,113.35,8.55,111.95,10.41,110.57,12.29,109.2,14.19,107.85,16.09,106.51,18.02,105.17,19.95,103.84,21.9,102.52,23.85,101.19,25.82,99.86,27.79,98.52,29.77,97.16,31.75,95.8,33.74,94.41,35.74,93,37.73,91.55,39.73,90.08,41.73,88.55,43.73,86.98,45.72,85.35,47.71,83.64,49.69,81.85,51.66,79.96,53.62,77.96,55.57,75.82,57.5,73.52,59.4,71.03,61.27,68.3,63.11,65.31,64.9,61.99,66.63,58.27,68.29,54.09,69.86,49.35,71.32,43.95,72.63,37.8,73.75,30.84,74.66,23.03,75.3,14.47,75.65,5.37,75.67,356.04,75.37,346.88,74.77,338.23,73.9,330.3,72.8,323.21,71.52,316.95,70.08,311.45,68.53,306.61,66.88,302.35,65.16,298.58,63.38,295.2,61.55,292.16,59.68,289.4,57.78,286.88,55.85,284.55,53.91,282.39,51.95,280.37,49.98,278.47,48,276.66,46.01,274.95,44.01,273.3,42.02,271.72,40.02,270.19,38.02,268.71,36.02,267.26,34.03,265.85,32.03,264.46,30.05,263.09,28.07,261.73,26.09,260.39,24.12,259.06,22.17,257.73,20.22,256.4,18.28,255.07,16.36,253.74,14.44,252.4,12.54,251.05,10.66,249.69,8.8,248.31,6.95,246.92,5.12,245.5,3.31,244.07,1.52,242.6,-0.24,241.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-01-06,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.61,119.15,1.14,117.65,2.93,116.18,4.73,114.74,6.55,113.32,8.4,111.92,10.26,110.53,12.14,109.17,14.04,107.81,15.94,106.47,17.87,105.13,19.8,103.8,21.75,102.47,23.7,101.14,25.67,99.81,27.64,98.46,29.62,97.11,31.61,95.74,33.6,94.35,35.59,92.94,37.59,91.49,39.58,90.01,41.58,88.49,43.58,86.91,45.57,85.28,47.56,83.57,49.54,81.78,51.52,79.89,53.48,77.89,55.42,75.75,57.35,73.45,59.25,70.95,61.12,68.24,62.96,65.25,64.75,61.93,66.48,58.23,68.14,54.07,69.71,49.35,71.16,43.99,72.47,37.89,73.6,30.98,74.51,23.25,75.17,14.76,75.52,5.74,75.56,356.48,75.28,347.37,74.69,338.74,73.84,330.82,72.76,323.71,71.48,317.43,70.06,311.9,68.52,307.04,66.88,302.75,65.16,298.95,63.38,295.55,61.56,292.49,59.69,289.71,57.8,287.17,55.87,284.83,53.93,282.65,51.97,280.62,50,278.7,48.02,276.89,46.03,275.17,44.04,273.52,42.05,271.93,40.05,270.39,38.05,268.9,36.05,267.45,34.05,266.03,32.06,264.64,30.07,263.26,28.09,261.91,26.12,260.56,24.15,259.23,22.19,257.9,20.24,256.57,18.3,255.24,16.37,253.9,14.46,252.56,12.56,251.21,10.68,249.85,8.81,248.47,6.96,247.08,5.13,245.66,3.31,244.22,1.53,242.76,-0.24,241.27,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-01-07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.77,119.12,0.99,117.62,2.77,116.15,4.57,114.7,6.4,113.28,8.24,111.88,10.11,110.49,11.99,109.12,13.88,107.77,15.79,106.42,17.72,105.08,19.65,103.75,21.6,102.42,23.55,101.09,25.52,99.75,27.49,98.4,29.47,97.05,31.46,95.68,33.45,94.29,35.44,92.87,37.44,91.42,39.44,89.94,41.43,88.41,43.43,86.84,45.42,85.2,47.41,83.49,49.39,81.7,51.36,79.81,53.32,77.8,55.27,75.66,57.2,73.36,59.1,70.87,60.97,68.15,62.8,65.17,64.59,61.86,66.32,58.18,67.98,54.03,69.55,49.33,71,44.01,72.31,37.95,73.45,31.1,74.36,23.44,75.02,15.04,75.39,6.09,75.44,356.91,75.17,347.85,74.61,339.24,73.77,331.33,72.7,324.22,71.44,317.91,70.03,312.36,68.5,307.47,66.86,303.16,65.15,299.33,63.38,295.91,61.56,292.82,59.7,290.03,57.81,287.47,55.89,285.11,53.95,282.92,51.99,280.88,50.02,278.95,48.04,277.13,46.06,275.4,44.07,273.74,42.07,272.14,40.07,270.6,38.07,269.1,36.07,267.65,34.08,266.22,32.08,264.82,30.1,263.45,28.11,262.09,26.14,260.74,24.17,259.4,22.21,258.07,20.26,256.74,18.32,255.41,16.39,254.07,14.47,252.73,12.57,251.38,10.68,250.01,8.81,248.63,6.96,247.24,5.13,245.82,3.31,244.38,1.52,242.92,-0.25,241.43,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-01-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.83,117.59,2.61,116.11,4.42,114.66,6.24,113.24,8.09,111.83,9.95,110.44,11.83,109.07,13.73,107.71,15.64,106.37,17.56,105.03,19.5,103.69,21.44,102.36,23.4,101.02,25.37,99.68,27.34,98.34,29.32,96.98,31.31,95.6,33.3,94.21,35.29,92.79,37.29,91.34,39.28,89.86,41.28,88.33,43.28,86.75,45.27,85.11,47.26,83.4,49.24,81.6,51.21,79.71,53.17,77.71,55.12,75.56,57.04,73.26,58.94,70.77,60.81,68.06,62.64,65.08,64.43,61.78,66.16,58.1,67.82,53.97,69.39,49.3,70.84,44.01,72.15,38,73.29,31.2,74.21,23.61,74.87,15.29,75.25,6.43,75.31,357.32,75.06,348.32,74.51,339.75,73.69,331.84,72.64,324.72,71.39,318.4,69.99,312.82,68.47,307.91,66.84,303.57,65.14,299.72,63.38,296.27,61.56,293.17,59.7,290.35,57.81,287.78,55.9,285.41,53.96,283.2,52.01,281.14,50.04,279.21,48.06,277.38,46.07,275.63,44.08,273.97,42.09,272.36,40.09,270.81,38.09,269.31,36.09,267.85,34.09,266.42,32.1,265.02,30.11,263.64,28.13,262.27,26.15,260.92,24.18,259.58,22.22,258.25,20.27,256.91,18.32,255.58,16.39,254.24,14.48,252.9,12.57,251.55,10.69,250.18,8.81,248.8,6.96,247.4,5.12,245.99,3.31,244.55,1.51,243.09,-0.26,241.6,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-01-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.67,117.54,2.45,116.07,4.26,114.62,6.08,113.19,7.93,111.78,9.79,110.39,11.67,109.02,13.57,107.66,15.48,106.31,17.4,104.96,19.34,103.62,21.29,102.29,23.24,100.95,25.21,99.61,27.18,98.26,29.17,96.9,31.15,95.52,33.14,94.13,35.14,92.71,37.13,91.26,39.13,89.77,41.13,88.24,43.13,86.65,45.12,85.01,47.11,83.3,49.09,81.5,51.06,79.61,53.02,77.6,54.96,75.46,56.88,73.15,58.78,70.66,60.65,67.95,62.48,64.98,64.27,61.68,66,58.02,67.65,53.9,69.22,49.25,70.67,43.99,71.98,38.02,73.12,31.29,74.04,23.77,74.71,15.53,75.1,6.75,75.18,357.72,74.94,348.78,74.41,340.24,73.6,332.36,72.56,325.24,71.33,318.9,69.94,313.3,68.43,308.36,66.82,304,65.12,300.12,63.36,296.65,61.55,293.53,59.7,290.69,57.81,288.1,55.9,285.71,53.97,283.49,52.01,281.42,50.05,279.47,48.07,277.63,46.09,275.88,44.09,274.2,42.1,272.59,40.1,271.04,38.1,269.53,36.1,268.06,34.11,266.63,32.11,265.22,30.12,263.83,28.14,262.47,26.16,261.11,24.19,259.77,22.23,258.43,20.27,257.1,18.33,255.76,16.4,254.42,14.48,253.08,12.57,251.72,10.68,250.35,8.81,248.97,6.95,247.58,5.11,246.16,3.29,244.72,1.5,243.26,-0.28,241.77,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
2025-01-10,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.5,117.5,2.29,116.02,4.09,114.56,5.92,113.13,7.77,111.72,9.63,110.33,11.51,108.95,13.41,107.59,15.32,106.24,17.25,104.89,19.18,103.55,21.13,102.21,23.09,100.87,25.05,99.53,27.03,98.18,29.01,96.82,31,95.44,32.99,94.04,34.98,92.61,36.98,91.16,38.98,89.67,40.97,88.14,42.97,86.55,44.96,84.9,46.95,83.19,48.93,81.39,50.9,79.49,52.86,77.48,54.8,75.34,56.72,73.03,58.62,70.54,60.49,67.83,62.32,64.86,64.1,61.57,65.83,57.91,67.48,53.81,69.04,49.19,70.5,43.96,71.81,38.03,72.95,31.36,73.87,23.91,74.55,15.75,74.95,7.06,75.03,358.11,74.81,349.23,74.29,340.74,73.5,332.87,72.48,325.75,71.26,319.4,69.89,313.78,68.39,308.82,66.78,304.43,65.09,300.53,63.34,297.04,61.54,293.89,59.69,291.04,57.81,288.42,55.9,286.02,53.97,283.79,52.02,281.7,50.05,279.74,48.08,277.89,46.09,276.13,44.1,274.44,42.11,272.83,40.11,271.26,38.11,269.75,36.11,268.28,34.11,266.84,32.12,265.42,30.13,264.04,28.14,262.67,26.16,261.31,24.19,259.96,22.23,258.62,20.27,257.28,18.33,255.94,16.39,254.6,14.47,253.26,12.56,251.9,10.67,250.53,8.8,249.15,6.94,247.75,5.09,246.33,3.27,244.89,1.47,243.43,-0.3,241.94,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
